LCH_index,step_list
LCH_113,"[12, 12, 19, 19, 153, 152, 161, 86, 86]"
LCH_114,"[153, 152, 161, 50, 86, 147, 12, 12, 19, 19, 153, 152, 161, 86, 86, 147]"
LCH_115,"[113, 113, 110, 45, 52, 46, 46, 46, 114, 113, 46, 46]"
LCH_116,"[113, 113, 110, 45, 52, 46, 46, 46, 114, 113, 46, 46]"
LCH_117,"[113, 113, 46, 52, 46, 46, 52, 114, 110, 113, 46, 46, 110, 43, 46, 44, 46, 114]"
LCH_118,"[113, 113, 46, 52, 46, 46, 52, 114, 110, 113, 46, 46, 110, 43, 46, 43, 46, 44, 46, 114]"
LCH_119,"[113, 113, 46, 52, 46, 46, 52, 114, 43, 43, 46, 43, 46, 110, 44, 46, 46, 114]"
LCH_120,"[113, 113, 46, 52, 46, 46, 52, 114, 110, 113, 46, 44, 46, 44, 46, 114]"
LCH_121,"[113, 113, 46, 52, 46, 46, 52, 114, 110, 113, 46, 44, 46, 44, 46, 114, 113, 113, 46, 52, 46, 46, 52, 114, 110, 113, 46, 44, 46, 44, 46]"
LCH_122,"[117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 64]"
LCH_123,"[117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 64, 117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 46, 64, 117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 64, 117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 64]"
LCH_124,"[117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 64]"
LCH_125,"[127, 54]"
LCH_126,[126]
LCH_127,"[126, 120, 117, 123, 124, 134, 43, 46, 52, 46, 46, 96, 152, 161, 86, 88]"
LCH_128,"[117, 43, 46, 52, 46, 46, 96, 152, 161, 86, 88]"
LCH_129,"[43, 46, 96, 152, 161, 86, 88]"
LCH_130,"[43, 46, 96, 152, 161, 86, 88, 43, 46, 96, 152, 161, 86, 88]"
LCH_131,"[43, 46, 96, 152, 161, 86, 88, 43, 46, 96, 152, 161, 86, 88]"
LCH_132,"[43, 96, 152, 161, 86, 88]"
LCH_133,"[43, 46, 46, 46, 43, 46, 96, 152, 161, 96, 18, 86, 88, 96, 152, 161, 96, 18, 86, 88]"
LCH_134,"[43, 46, 46, 46, 62, 46, 96, 152, 161, 96, 18, 86, 88, 96, 152, 161, 96, 18, 86, 88]"
LCH_135,"[43, 46, 61]"
LCH_136,"[43, 46, 61]"
LCH_137,"[152, 161, 86, 89, 88, 86, 88, 49, 53, 49, 46, 46, 86, 89, 88, 49, 53, 49, 46, 46, 86, 89, 88, 49, 49, 46, 46, 86, 89, 88, 49, 46, 46, 86, 88, 49, 46, 46, 86, 88, 49, 53, 49, 152, 161, 86, 89, 88, 49, 53, 49, 86, 89, 88]"
LCH_138,"[49, 49, 46, 46, 117, 117, 120, 117, 152, 161, 86, 88]"
LCH_139,"[49, 49, 46, 46, 117, 117, 120, 117, 152, 161, 86, 88]"
LCH_140,"[152, 161, 86, 89, 88, 86, 88, 49, 53, 49, 46, 46, 86, 89, 88, 49, 53, 49, 46, 46, 86, 89, 88, 49, 49, 46, 46, 86, 89, 88, 49, 46, 46, 86, 88, 49, 46, 46, 86, 88, 49, 53, 49, 152, 161, 86, 89, 88, 49, 53, 49, 86, 89, 88]"
LCH_141,"[49, 49, 46, 46, 117, 117, 120, 117, 152, 161, 86, 88]"
LCH_142,"[152, 161, 86, 89, 88, 86, 88, 49, 53, 49, 46, 46, 86, 89, 88, 49, 53, 49, 46, 46, 86, 89, 88, 49, 49, 46, 46, 86, 89, 88, 49, 46, 46, 86, 88, 49, 46, 46, 86, 88, 49, 53, 49, 152, 161, 86, 89, 88, 49, 53, 49, 86, 89, 88]"
LCH_143,"[43, 46, 46, 46, 46, 46, 120, 44, 46, 152, 161, 86, 88]"
LCH_144,"[43, 46, 46, 46, 46, 46, 61, 152, 161, 86, 88]"
LCH_145,"[43, 46, 46, 46, 46, 46, 44, 152, 161, 86, 88]"
LCH_146,"[43, 46, 46, 46, 46, 46, 44, 152, 161, 86, 88]"
LCH_147,"[43, 46, 46, 46, 46, 46, 44, 152, 161, 86, 88]"
LCH_148,"[43, 46, 152, 161, 86, 88, 61]"
LCH_149,"[43, 46, 46, 46, 46, 46, 44, 46, 46, 43, 152, 161, 86, 88]"
LCH_150,"[43, 46, 46, 46, 46, 152, 161, 86, 88]"
LCH_151,"[43, 46, 46, 46, 46, 46, 120, 44, 46, 46, 43, 120, 44, 46, 152, 161, 86, 88]"
LCH_152,"[43, 46, 46, 46, 46, 46, 43, 120, 44, 46, 120, 44, 46, 152, 161, 86, 88]"
LCH_153,"[43, 46, 46, 46, 46, 46, 61, 46, 61, 46, 44, 46, 152, 161, 86, 88]"
LCH_154,"[43, 46, 46, 46, 46, 46, 43, 120, 44, 46, 152, 161, 86, 88, 43, 46, 46, 46, 46, 46, 61, 46, 152, 161, 86, 88, 117, 152, 161, 86, 88]"
LCH_155,"[43, 46, 46, 44, 61, 61, 46, 152, 161, 86, 88]"
LCH_156,"[43, 46, 46, 46, 46, 46, 37, 39, 41, 46, 43, 152, 161, 46, 152, 161, 86, 88]"
LCH_157,"[43, 46, 46, 46, 46, 46, 61, 152, 161, 86, 88, 46, 61, 46, 152, 161, 86, 88, 89]"
LCH_158,"[43, 46, 46, 46, 46, 46, 44, 152, 161, 86, 88]"
LCH_159,"[43, 46, 46, 46, 46, 46, 44, 46, 152, 161, 86, 88]"
LCH_160,"[43, 46, 46, 46, 46, 46, 61, 61, 152, 161, 86, 88]"
LCH_161,"[43, 46, 46, 46, 46, 46, 43, 46, 152, 161, 86, 88]"
